Wall time,Step,Value
1649772875.7540054,2352,0.06162630394101143
1649773155.0777352,2367,0.06836549937725067
1649773256.093845,2368,0.060451656579971313
1649773352.4554212,2373,0.0689324215054512
1649773538.4831417,2383,0.06799270957708359
1649773630.6586185,2384,0.07105302065610886
1649773730.1869075,2389,0.0669807717204094
1649773823.4096146,2394,0.0701809972524643
1649774023.0095265,2400,0.05489257723093033
1649774211.985593,2410,0.06964114308357239
1649774300.2978022,2415,0.06487327814102173
1649774395.5595417,2416,0.060735512524843216
1649774601.9234061,2426,0.06281297653913498
1649774778.4626799,2432,0.06259473413228989
1649774963.856859,2442,0.06937091797590256
1649775054.5345252,2447,0.055972542613744736
1649775153.6147716,2448,0.05263889580965042
1649775425.84936,2463,0.05340733006596565
1649775799.579838,2479,0.06325767934322357
1649775896.7396574,2480,0.05783531069755554
1649775989.6110606,2485,0.0622890368103981
1649776079.5296154,2490,0.05675491690635681
1649776164.256671,2495,0.06073158606886864
1649776358.9605162,2501,0.05839280039072037
1649776710.0599923,2517,0.048517823219299316
1649776803.71274,2522,0.06486160308122635
1649776998.3545518,2528,0.07212592661380768
1649777180.5242538,2538,0.055809881538152695
1649777547.3447697,2554,0.05736330896615982
1649777823.083226,2565,0.05270789563655853
1649777918.3234496,2570,0.05560488626360893
1649778095.1263745,2576,0.04922838881611824
1649778188.8860452,2581,0.05656213313341141
1649778280.8064573,2586,0.06444193422794342
1649778367.5275621,2591,0.0518999807536602
1649778462.8181381,2592,0.06932777166366577
1649778556.0558352,2597,0.05082838982343674
1649778644.2023723,2602,0.05293520912528038
1649778732.5370326,2607,0.0608372762799263
1649778824.5542789,2608,0.05436529591679573
1649779186.715271,2624,0.05398685485124588
1649779288.365115,2629,0.0637640580534935
1649779469.130169,2639,0.06438179314136505
1649779652.1752353,2645,0.06822605431079865
1649779745.1588864,2650,0.060822077095508575
1649779835.113759,2655,0.05367593094706535
1649779934.4474509,2656,0.058041561394929886
1649780028.692964,2661,0.06661102175712585
1649780116.4045315,2666,0.0703466534614563
1649780208.8856506,2671,0.055541131645441055
1649780307.0487072,2672,0.06667239218950272
1649780397.0753047,2677,0.06305040419101715
1649780580.805137,2687,0.06156854331493378
1649780677.4422154,2688,0.06722021102905273
1649780768.0841162,2693,0.053974002599716187
1649780855.71451,2698,0.07486913353204727
1649780942.5293999,2703,0.059124238789081573
1649781138.4418974,2709,0.06848199665546417
